SLID,NAME,CONTACT NO,SHORT NAME,ESTABLISHED YEAR,REGISTRATION NO,PHARMACY TYPE,PHARMACY CATEGORY,PROPREITOR NAME,PROPREITOR CONTACT NO,PROPREITOR EMAIL ID,PROPREITOR ADDRESS,CHEMIST TYPE,CHEMISTRATING,BRANCH DRUG LICENSE NO,BRANCH VAT,BRANCH CST,BRANCH TIN REGIS NO,CHEMIST NAME,STATION,BRANCH ADDRESS LINE 1,BRANCH ADDRESS LINE 2,BRANCH ADDRESS LINE 3,BRANCH CITY,BRANCH STATE,COUNTRY,BRANCH MOBILE NO,BRANCH LANDLINE NO,BRANCH FAX NO,BRANCH WEBSITE,BRANCH BUISNESS POTENTIAL,BRANCH SHIPPING ADDRESS LINE 1,BRANCH SHIPPING ADDRESS LINE 2,BRANCH SHIPPING ADDRESS LINE 3,BRANCH SHIPPING CITY,BRANCH SHIPPING STATE,BRANCH SHIPPING COUNTRY,BRANCH SHIPPING MOBILE NO,BRANCH SHIPPING LANDLINE NO,BRANCH BEST TIME FROM,BRANCH BEST TIME TO,BRANCH WORK TIMINGS DAYS,BRANCH WORK TIMINGS FROM,BRANCH WORK TIMINGS TO,BRANCH FREQUENCY TYPE,BRANCH FREQUENCY CALL,Lat,Log
CHL-034,New Deluxe ,,ND,,,,,,,,,,,,,,,raju,Nizamabad,Ahmed pura Colony,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-035,Samreen,,S,,,,,,,,,,,,,,,,Nizamabad,Ahmed pura Colony,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-036,Marrium,,M,,,,,,,,,,,,,,,,Nizamabad,Ahmed pura Colony,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-037,R R,,RR,,,,,,,,,,,,,,,,Nizamabad,Vinayak nagar,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-038,Om ,,O,,,,,,,,,,,,,,,,Nizamabad,kotagally,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-039,Ambica,,A,,,,,,,,,,,,,,,Malik,Nizamabad,kasab gally,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-040,Sanjana,,S,,,,,,,,,,,,,,,,Nizamabad,armoor road,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-041,Sumangali,,S,,,,,,,,,,,,,,,,Nizamabad,opp court,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-042,Anasuya,,A,,,,,,,,,,,,,,,,Nizamabad,khaleelwadi,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-043,sri laxmi narsimha swamy,,SLN,,,,,,,,,,,,,,,,Nizamabad,khaleelwadi,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-044,swetha,,S,,,,,,,,,,,,,,,,Nizamabad,khaleelwadi,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-045,Sidddi vinayaka,,SV,,,,,,,,,,,,,,,,Nizamabad,khaleelwadi,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-046,Sri venkateshwara,,SV,,,,,,,,,,,,,,,,Nizamabad,khaleelwadi,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-047,Sri Nitya sree,,SNS,,,,,,,,,,,,,,,,Nizamabad,khaleelwadi,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-048,Akshara ,,A,,,,,,,,,,,,,,,,Nizamabad,khaleelwadi,,near pochamma temple,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-049,Vishnu priya,,VP,,,,,,,,,,,,,,,,Nizamabad,kasab gally,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-050,varalaxmi,,V,,,,,,,,,,,,,,,,Nizamabad,khaleelwadi,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-051,Syed Ali,,SA,,,,,,,,,,,,,,,,Nizamabad,Ahmed pura Colony,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-052,Laxmi ,,L,,,,,,,,,,,,,,,,Nizamabad,Ahmed pura Colony,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.6725047,78.0940867
CHL-053,Adnan,,A,,,,,,,,,,,,,,,,Banswada,Ahmed pura Colony,,nizamabad,NIZAMABAD,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.3818488,77.8758114
CHL-054,RAJA RAJESHWARA,,RR,,,,,,,,,,,,,,,,Banswada,main road,,banswada,banswada,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.3818488,77.8758114
CHL-055,Maherbaba,,M,,,,,,,,,,,,,,,,Banswada,main road,,banswada,banswada,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.3818488,77.8758114
CHL-056,M M,,MM,,,,,,,,,,,,,,,,Banswada,main road,,banswada,banswada,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.3818488,77.8758114
CHL-057,Zee Shaan,,ZS,,,,,,,,,,,,,,,,Banswada,main road,,banswada,banswada,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,18.3818488,77.8758114
